date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,11.9,9.7,14.4,0.4,,216,29.4,63,1010.3,
2023-01-02,9,4.8,11.7,3,,231,20.4,40.3,1013.7,
2023-01-03,4.6,1.4,7.5,1.1,,196,17,51.5,1024.2,
2023-01-04,10.4,7.9,12.5,10.9,,228,40.5,68.4,1010.7,
2023-01-05,9.2,8.5,10,1.1,,253,24.3,55.1,1015.6,
2023-01-06,8.7,5.1,10.2,1.5,,216,23.4,50,1014.4,
2023-01-07,9.8,6.9,10.8,0.7,,184,23.7,42.1,1009.3,
2023-01-08,8.1,5.5,9.7,0,,186,23.6,42.5,999.2,
2023-01-09,6,4.6,7.3,0,,212,16.4,38.2,996.6,
2023-01-10,5.8,4,7.4,4.3,,204,23.9,63.4,1011.3,
2023-01-11,8.9,7.7,10.2,5.6,,222,29.3,61.6,1005.9,
2023-01-12,9.9,7.8,11.9,7.9,,222,32.6,65.9,1001.1,
2023-01-13,7.9,6.7,10,3.4,,236,38.3,59.4,1001.3,
2023-01-14,7.3,5.5,10.5,10.8,,209,29.1,63.4,1001.9,
2023-01-15,5.7,4.3,6.7,1.1,,225,33.3,65.5,994.6,
2023-01-16,4,3.1,4.9,4.7,,157,17.4,43.9,984.9,
2023-01-17,2.4,0.1,4.5,2.8,,248,23.7,58,983.6,
2023-01-18,0.8,-1.6,3.5,0.4,,200,23.3,60.5,992.4,
2023-01-19,2.3,-0.3,5.7,0.6,,235,19.1,50,1001.2,
2023-01-20,0.2,-0.9,1.3,0,,165,14,25.2,1015.2,
2023-01-21,0.2,-1.4,3.7,0,,3,8.9,26.6,1031.7,
2023-01-22,1,-1,2.2,0,,37,18,32,1034.1,
2023-01-23,2.4,1.9,3.3,0,,60,9.8,18.7,1038.2,
2023-01-24,1.9,0.2,2.8,0,,106,9,17.6,1040.3,
2023-01-25,-0.9,-1.3,0.1,0,,208,14.6,28.8,1032.3,
2023-01-26,2.6,-0.6,7.7,1.9,,316,13.8,27.7,1024,
2023-01-27,3.1,1.5,4.2,0,,40,15.3,28.1,1028.4,
2023-01-28,2.3,-0.3,4.8,0,,239,9.1,20.9,1029.6,
2023-01-29,4,2.4,4.8,0,,226,24.2,49,1023.1,
2023-01-30,6.1,4,7.5,3.4,,279,35.6,76.7,1013.4,
2023-01-31,5.7,3.1,8.3,0.7,,255,29.9,63,1016.7,
2023-02-01,5.9,1.7,7.4,1.5,,271,36.9,64.1,1013.2,
2023-02-02,6,4.4,8.1,5.7,,255,19.3,45.4,1019.7,
2023-02-03,8.3,6.1,9.6,0.2,,286,38.9,64.8,1021.6,
2023-02-04,4.3,1.9,7.1,0,,105,10.6,41.8,1035.5,
2023-02-05,4.6,2,7.6,2.8,,350,21.2,59,1037.1,
2023-02-06,3,-1.2,8.1,0,,342,8,18,1041.6,
2023-02-07,-0.3,-4.5,3.7,0,,159,7.8,22.3,1040.8,
2023-02-08,-0.3,-5.3,5.9,0,,155,9.8,20.5,1037.3,
2023-02-09,1.1,-1.4,3.4,0,,205,17.7,32.4,1030.5,
2023-02-10,4.1,0.4,7.7,0,,227,20.1,40.3,1033.1,
2023-02-11,7.5,5.1,9.2,0,,259,19.6,40.7,1032.2,
2023-02-12,6.9,5.4,9.2,0,,255,9,20.2,1038.3,
2023-02-13,5.9,1.4,8.4,0,,90,7.1,15.8,1037.7,
2023-02-14,3.8,-0.1,11.3,0,,133,7.8,18,1033.9,
2023-02-15,3.3,-2.3,10.1,0,,175,9.8,23.8,1025.8,
2023-02-16,6.5,3.7,9,0.4,,203,18.8,34.9,1020.3,
2023-02-17,9.6,7,12.5,0,,250,35.3,68.4,1015.3,
2023-02-18,8.6,6.7,11.2,8.1,,251,25.4,61.6,1015.4,
2023-02-19,6,4.5,8.1,5.4,,326,11.1,34.9,1020.9,
2023-02-20,8.5,5.6,10.7,0,,242,34.5,58,1018.1,
2023-02-21,9.4,8.2,10.6,0,,246,17.3,39.6,1017.1,
2023-02-22,8.4,7.2,10,0,,172,9.8,24.5,1012.7,
2023-02-23,6.3,2,8.3,0,,295,12.6,34.6,1014.1,
2023-02-24,4.6,2.5,7.3,4.6,,275,25.5,51.8,1005.8,
2023-02-25,3.6,-1.2,5.2,0.7,,356,24.5,51.1,1010.3,
2023-02-26,1.5,-1.9,5.8,0,,23,17.1,41,1025.1,
2023-02-27,1.4,-3.6,6.6,0,,4,10.8,29.9,1031.1,
2023-02-28,3.3,-1.1,7,0,,327,7.1,13.7,1032.3,
2023-03-01,0.8,-6,7.5,0,,49,10.1,20.9,1030,
2023-03-02,1.7,0,5.7,0,,45,12.7,23.8,1026.8,
2023-03-03,3.5,-0.9,7.8,0,,291,11.4,28.4,1025.2,
2023-03-04,5.1,2.5,6.5,0,,320,21.9,46.1,1022.9,
2023-03-05,3.8,1.4,6.6,0.3,,276,19.4,33.5,1014.7,
2023-03-06,2.5,-1.4,5.8,3.2,,224,14.4,42.5,1003.5,
2023-03-07,2.5,-1.6,5,1.5,,256,22.1,51.5,995.1,
2023-03-08,0.3,-2.7,3.8,0,,151,10.7,25.9,996.3,
2023-03-09,1.2,-0.5,3,2.4,,74,12.3,27.4,996.8,
2023-03-10,0.6,0,1.4,15.1,,33,25.2,54.7,992.9,
2023-03-11,1.2,-2.9,6,0,,264,19.4,54.4,1008.3,
2023-03-12,2.8,-2.3,8.4,1.2,,194,17.4,32.8,1007.1,
2023-03-13,11.3,8.3,15.4,1.2,,219,37.1,79.9,992.9,
2023-03-14,6.2,1.2,10.5,7.1,,262,30.6,61.9,994.6,
2023-03-15,3.3,-0.3,8.2,0,,251,18.3,46.4,1014.6,
2023-03-16,4.9,0.1,8.5,1,,158,22.1,47.5,1014.4,
2023-03-17,9.9,5.7,15.5,0,,173,14,32.8,1007.3,
2023-03-18,10.9,7.2,16,0,,190,13.7,27.4,1009.3,
2023-03-19,10.2,7.8,13.7,0,,218,14.7,25.9,1013.3,
2023-03-20,8.1,7.1,10.2,0.4,,222,18.5,31.7,1016.8,
2023-03-21,9.8,8.5,12,2.8,,202,18.6,35.6,1011.6,
2023-03-22,10.3,9.3,11.5,1.2,,199,27.9,49,1004.4,
2023-03-23,11.8,10.5,14.2,0.9,,217,29.4,63.7,1000.5,
2023-03-24,11.1,8.5,13.3,3.4,,218,30.5,57.2,998.4,
2023-03-25,8.7,7.2,10.5,4.4,,241,29.4,54.7,999.7,
2023-03-26,6.2,3.3,8.3,0,,338,18.3,42.5,1005.7,
2023-03-27,3.8,0.8,7.1,0,,307,24.5,57.6,1017.3,
2023-03-28,4.2,-0.3,7.9,1.6,,234,17.6,32.8,1023.3,
2023-03-29,8.2,4.6,12.6,3.3,,187,18.8,32,1013.2,
2023-03-30,11.8,9.8,13.5,0,,217,27.6,54.7,1003.6,
2023-03-31,10.4,8.4,12.5,5.7,,180,15.9,35.3,995.6,
2023-04-01,8.5,4.8,11.1,2.8,,75,23.6,49.3,998.3,
2023-04-02,4.1,-0.5,8.9,0,,51,23.1,44.3,1022.9,
2023-04-03,2.9,-3.2,9,0,,69,14.9,31,1033.3,
2023-04-04,2.7,-3.5,8.2,0,,55,9.9,29.5,1029.8,
2023-04-05,3.6,-4.1,10.6,0,,92,8.1,21.6,1023.6,
2023-04-06,6.1,-0.9,12.5,1.4,,146,15.2,36,1016.9,
2023-04-07,9,4.1,14.4,1.8,,104,18.3,31.3,1017.7,
2023-04-08,6.7,0.8,11.3,0,,62,11,23,1025.7,
2023-04-09,9.9,6,14.3,0,,129,10.8,26.3,1025.9,
2023-04-10,10.6,5.7,16.3,5.1,,160,22.8,50.4,1016.1,
2023-04-11,7.6,2.6,10.3,0.7,,238,23.9,53.3,1008.8,
2023-04-12,8.1,5.2,12.4,10.7,,167,16.8,43.9,999.6,
2023-04-13,7.2,3.8,10.8,2.9,,200,23.9,52.2,999.4,
2023-04-14,7.9,2.2,14.3,0,,113,11.7,28.8,1009.6,
2023-04-15,6.3,1.1,8.6,0.9,,5,21.5,40.3,1013.8,
2023-04-16,8.9,4.7,12.7,0,,334,14.6,31.7,1022.7,
2023-04-17,10.2,5.7,15.4,0,,5,14.9,38.9,1027.3,
2023-04-18,8.6,3.3,13.2,0,,61,22.4,42.1,1030,
2023-04-19,8.3,2.1,13.3,0,,55,24.3,47.9,1029.4,
2023-04-20,8,4.1,12,0,,54,22.2,44.6,1022.2,
2023-04-21,13,6.3,19.7,0,,83,25.8,43.6,1015.8,
2023-04-22,13.3,7.3,20.5,3.2,,157,14.9,38.9,1007.6,
2023-04-23,11.3,5.6,17.2,4.2,,202,12.9,51.8,1004.4,
2023-04-24,8.9,6.6,10.9,4.5,,239,24,44.6,1000.6,
2023-04-25,6.2,3,8.6,0.6,,300,22.4,48.6,1012,
2023-04-26,5.1,1.7,8.7,0,,280,16.4,38.9,1018.3,
2023-04-27,5.9,-0.3,11.3,0,,267,10.8,28.1,1020.6,
2023-04-28,8,3.8,12.2,1,,78,14,29.2,1012.4,
2023-04-29,9.7,5.2,12.9,0,,344,17,37.4,1018,
2023-04-30,8.5,1.1,14.8,0,,94,6.6,18.7,1023.5,
2023-05-01,10.5,3.1,17,0,,33,9.5,34.6,1016.2,
2023-05-02,8.3,4.8,10.6,0,,333,18.8,41,1024,
2023-05-03,7.6,3.6,11.2,0,,17,7.9,31.7,1029.4,
2023-05-04,10,1.7,17.6,0,,69,16.1,33.1,1022.7,
2023-05-05,12.1,9,17.6,10.9,,88,13.7,35.3,1016.2,
2023-05-06,12.4,8,17.4,0.1,,98,9,25.2,1017.1,
2023-05-07,12.5,9.5,17,2.3,,110,19.1,36.4,1019.4,
2023-05-08,14.1,7.9,20.3,0,,128,12.2,28.8,1021.2,
2023-05-09,14.9,12.5,18.1,3,,146,11.6,27,1012.9,
2023-05-10,12.9,10.6,14.8,5,,273,12.9,27,1009.4,
2023-05-11,12,10.1,15.6,4,,38,11.3,25.2,1015.5,
2023-05-12,14.8,10.2,22,3.3,,42,14.1,34.9,1018.8,
2023-05-13,14.2,7.6,20.8,0,,25,15.2,31.7,1021.6,
2023-05-14,14,7.1,20.7,0,,9,8.6,29.9,1018,
2023-05-15,11.5,9.7,15,0,,324,15.7,41.8,1013.8,
2023-05-16,9.8,6,12.4,0,,308,22.5,47.9,1019.1,
2023-05-17,8.9,6.8,10.9,0,,333,17,40,1026.1,
2023-05-18,9.6,6.1,14.6,0,,43,10.9,34.2,1029.1,
2023-05-19,11.6,4.3,18.2,0,,54,13.1,33.1,1027.5,
2023-05-20,13.5,7.8,19,0,,57,17.4,39.2,1025.1,
2023-05-21,15.7,11.5,20.4,0,,30,15,31.3,1018.7,
2023-05-22,16.7,14,21.5,0,,15,14.6,37.8,1014.8,
2023-05-23,12,9.2,13.6,0,,328,27.9,57.6,1019.8,
2023-05-24,10.8,6.7,13.5,0,,325,16.4,39.6,1023.4,
2023-05-25,10.6,5,15.1,0,,351,16.4,41,1028.1,
2023-05-26,10.5,6.1,15,0,,15,18.5,40.7,1031.2,
2023-05-27,12.2,3.8,19.4,0,,38,10.7,26.3,1027.8,
2023-05-28,13.3,7.2,20,0,,18,17.7,40,1023,
2023-05-29,11.3,6.7,15.5,0,,6,20.6,42.5,1026.1,
2023-05-30,11.8,9,14.2,0,,5,15.8,30.2,1027.5,
2023-05-31,13.1,6,18.6,0,,11,15.6,37.4,1026.7,
2023-06-01,11.6,10.4,13.6,0,,342,20.3,42.1,1022.9,
2023-06-02,14.4,9.6,19.2,0,,16,15.9,33.5,1021.8,
2023-06-03,13.5,5.6,20.1,0,,63,14.4,35.6,1024,
2023-06-04,12.9,6.7,18.8,0,,17,14.9,39.2,1024,
2023-06-05,13.1,6.9,18,0,,18,14.9,40.7,1023.3,
2023-06-06,13.5,8.1,18.8,0,,9,16.8,39.6,1022.1,
2023-06-07,13.5,8.2,18.8,0,,5,14,34.9,1021.6,
2023-06-08,14.8,10.4,21,0,,25,16.1,34.2,1019.3,
2023-06-09,18.3,9.8,27,0,,47,16.2,37.1,1017,
2023-06-10,18.6,10.7,26.3,0,,60,14.7,31,1017.8,
2023-06-11,22.2,15.3,29,0,,96,15.3,42.5,1017.9,
2023-06-12,20.5,12.2,28.1,0,,78,12.8,39.2,1017.5,
2023-06-13,19.4,11.8,24.6,0,,57,15.9,36.4,1016.6,
2023-06-14,18.1,10.1,25,0,,67,16.5,45.7,1019.1,
2023-06-15,18.6,10.7,25.7,0,,38,11.4,45.7,1020.2,
2023-06-16,17.5,10,23.6,0,,320,14,40,1018.1,
2023-06-17,17.9,12.7,22.7,0,,323,11.1,31.7,1015.1,
2023-06-18,19.9,11.1,27.7,0,,83,8.2,25.6,1013.5,
2023-06-19,20.8,15.2,23.9,0,,221,16.1,44.3,1011,
2023-06-20,20.5,13.7,27.3,0,,99,12.9,35.6,1012.1,
2023-06-21,20.7,16.9,25.3,0,,264,13.8,34.2,1014.5,
2023-06-22,18.8,12.9,25.2,2.7,,35,12.3,38.9,1018.1,
2023-06-23,19.1,16,23.5,6.5,,327,15,40.3,1020.4,
2023-06-24,19.7,12.9,27,0,,243,10.5,27.7,1023.3,
2023-06-25,22.7,13.6,29.7,0,,129,8.7,26.6,1017.7,
2023-06-26,19.9,14.2,22.7,0.5,,259,20,47.2,1014.1,
2023-06-27,16.5,11.1,21.8,0,,278,17.4,39.6,1018,
2023-06-28,15.5,11.1,18.5,0,,205,10.1,22.3,1017.6,
2023-06-29,19,15.9,22.8,0,,207,12.1,33.1,1013.5,
2023-06-30,17.2,11.8,21.8,0,,262,12,47.2,1011.9,
2023-07-01,17,15.3,19.5,3.3,,225,20.7,38.9,1003.2,
2023-07-02,16,11.5,19.3,0,,246,23.1,54.4,1006.1,
2023-07-03,15.1,13.3,17.5,0.5,,236,19.1,45.4,1007.2,
2023-07-04,15.5,10.5,20.8,2.6,,233,19.5,60.1,1009.4,
2023-07-05,14.2,12.4,15.6,11.5,,193,30.8,97.9,1004.8,
2023-07-06,15.4,9.9,20.4,0,,226,11.8,39.6,1015.6,
2023-07-07,19,10.1,26.7,0,,139,9.8,36,1020.3,
2023-07-08,22.9,13.7,32.2,0,,87,14.4,36.4,1018.7,
2023-07-09,23.3,16.5,32.8,1.2,,112,10.1,50.4,1017.8,
2023-07-10,20.5,15.9,24.8,0.1,,270,12.2,36.4,1019.2,
2023-07-11,21.7,14.5,28.7,0,,185,13.8,44.3,1012.5,
2023-07-12,18.9,14.4,23.1,3.3,,229,17.3,49,1009,
2023-07-13,17.4,13.4,22.4,0,,242,18.1,40,1014.1,
2023-07-14,17.9,12.3,22.9,0,,172,12.3,32.4,1014.2,
2023-07-15,21.9,17.6,27.3,0,,183,20.6,43.9,1004.6,
2023-07-16,18.4,15.2,22.6,0,,209,23.7,57.6,1009.6,
2023-07-17,16.9,13,21.5,0,,228,18,43.9,1015.6,
2023-07-18,16.5,11.3,21.1,0,,209,11.7,34.6,1018.3,
2023-07-19,17,14.3,20.9,0.4,,330,12.6,32,1013,
2023-07-20,16.1,10.9,20.6,0,,311,11.6,26.6,1014,
2023-07-21,15,9.2,21.3,0,,246,9.6,32.8,1011,
2023-07-22,14.3,9.7,17.8,7.8,,209,14.7,24.1,1011.8,
2023-07-23,16.6,13.9,21.7,8.9,,200,21.9,46.1,1005.3,
2023-07-24,17.2,13.9,23.2,3.6,,246,15.2,40.3,1001.8,
2023-07-25,15.3,10.9,19.3,0,,284,17.3,39.6,1006.2,
2023-07-26,14.7,10.6,19.1,1.4,,245,15.8,36.4,1010.1,
2023-07-27,15,10.6,18.6,11.9,,184,11.9,27.4,1004.9,
2023-07-28,19.9,16.8,25.2,0.7,,279,13.5,32.8,1004.6,
2023-07-29,19,15.1,24.1,0.7,,221,15.6,35.3,1005.7,
2023-07-30,15.9,13.5,19.3,1.3,,219,18.3,49,1007.9,
2023-07-31,16.8,14.7,19.5,17.8,,213,19.4,41,1004.1,
2023-08-01,16.8,14.3,19.2,6.6,,237,22.1,47.9,997.2,
2023-08-02,16.4,14.7,20.7,8.5,,184,16.5,49,993.7,
2023-08-03,17.2,14.9,21.8,3.4,,264,17.1,45.7,994.7,
2023-08-04,16.6,12.9,19.2,0,,289,15,32.4,1011.5,
2023-08-05,15.7,11.6,21.6,9.6,,177,10.8,38.2,1012.6,
2023-08-06,16.8,13.2,22,0,,31,14.7,34.6,1006.3,
2023-08-07,15.1,12.8,19.1,2.7,,283,23.8,54,1010.6,
2023-08-08,15.3,11.7,19.1,0,,255,27.9,55.1,1010.4,
2023-08-09,15.3,9.5,21.1,0,,257,18.6,36,1014.5,
2023-08-10,15.3,9,20.1,0,,225,8.1,28.8,1020.8,
2023-08-11,21.1,14,28.6,0,,188,12.9,31,1019.1,
2023-08-12,19,14.9,22.3,0.3,,199,12.2,29.2,1015,
2023-08-13,18.4,13.8,23,0,,205,14.4,31.7,1015.4,
2023-08-14,19.4,13,26.4,0,,162,8.4,23.4,1014.5,
2023-08-15,19.5,14.4,24.9,0,,229,12.9,30.2,1014.4,
2023-08-16,17.3,10.2,23.7,0,,354,11.1,33.8,1021.4,
2023-08-17,17.1,13.6,21.2,0,,48,19.8,38.9,1021.2,
2023-08-18,20,15.9,26.3,0,,72,12.3,24.8,1017.5,
2023-08-19,22.1,16.2,28.5,0,,162,13.4,36.7,1014.8,
2023-08-20,19.2,13.7,26.2,0,,234,10.4,29.9,1021.6,
2023-08-21,18.8,12.1,26.3,0,,230,7.7,25.9,1022.9,
2023-08-22,19.7,14.3,26.1,0,,255,9.6,32,1019.7,
2023-08-23,18.7,12.9,26,0,,245,12.6,41.8,1019.5,
2023-08-24,19,12.6,25.4,0,,115,8.6,25.6,1014.5,
2023-08-25,19.3,16.1,21.4,6.4,,254,10.7,20.9,1007.2,
2023-08-26,16.2,13.3,19.8,0,,227,13.4,32,1008.8,
2023-08-27,14.4,12,18,2.2,,194,13.7,35.6,1008.1,
2023-08-28,15.4,11.4,20.2,0,,268,13.4,31.3,1010.8,
2023-08-29,14.8,8.6,19.8,0,,223,6.2,19.8,1011.1,
2023-08-30,13.6,10.5,16.9,0.6,,198,11.7,33.5,1005.5,
